id_unique;stocking_bs_jp;id_fire;time_since_fire;latitude;longitude;seasonality_real_date;seasonality_adjusted;CBI;sphagnum_cover;ericaceous_cover;rom_med;age;basal_area_prefire_bs;prefire_bs_proportion;seedlings_ha_bs;seedlings_ha_jp;seedlings_ha_bl
20202013UA098;7;2013_2;7;51.70856;-68.06895;2013-07-09;91;2.121966805;0;39.8148148;250;123;29.42582822;96.6779022;3750;750;0
2017199511;8;1995_1;22;50.24799993;-70.97305993;1995-08-11;105;2.360443333;0;37.037037;170;197;13.82162372;100;3000;0;0
20202002MD059;8;2002_1;18;50.70327;-68.40121;2002-07-10;56;2.136804971;26.37362637;44.4444444;300;155;12.24828257;89.15323556;8750;0;750
20192005X015;8;2005_3;14;50.2628;-72.36031;2005-06-03;34;2.741282914;6.593406593;11.1111111;147.6666667;91;25.59337651;89.95600061;10500;500;4000
20192005P011;8;2005_3;14;50.24415;-72.36143;2005-06-03;34;2.322596711;16.48351648;48.1481481;210;144;16.27435102;70.89905504;7250;0;2250
20192005X006;8;2005_3;14;50.25123;-72.35946;2005-06-03;34;2.453405715;9.89010989;48.1481481;290;146;19.21142946;98.37827614;19000;1000;0
20192005P017;8;2005_3;14;50.26223;-72.35835;2005-06-03;34;2.742639404;0;11.1111111;160;90;25.60735231;82.55667891;7000;0;1000
20172005160;8;2005_5;12;51.12114044;-71.05678786;2005-06-04;58;2.232419234;3.296703297;47.2222222;130;330;4.151382684;100;19250;0;0
20172005169;8;2005_5;12;51.1028;-71.013265;2005-06-04;58;1.701108331;9.89010989;45.3703704;330;271;5.751086699;100;44250;0;0
20192007R003;8;2007_2;12;50.13803;-71.9688;2007-06-19;69;2.446171348;3.296703297;48.1481481;290;101;26.83092981;99.5959596;7750;0;250
20192007X021;8;2007_2;12;50.14283;-71.96966;2007-06-19;68;1.980599351;12.08791209;79.6296296;580;98;1.967808247;91.73872512;17000;0;0
20172007151;8;2007_3;10;51.080031;-71.142697;2007-06-16;66;2.042723989;14.28571429;19.4444444;170;184;10.92804622;98.01888562;14250;0;0
20172007113;8;2007_3;10;51.094041;-71.10049;2007-06-16;66;2.042868612;16.48351648;36.1111111;330;183;13.83677822;86.24286741;23500;0;0
20172007149;8;2007_3;10;51.081549;-71.139814;2007-06-16;66;2.501775504;1.098901099;18.5185185;230;192;17.70480394;64.41671259;14500;0;250
20172007114;8;2007_3;10;51.093869;-71.101176;2007-06-16;66;2.203291304;39.56043956;53.7037037;370;179;19.65278966;91.37708348;15250;0;0
20172007135;8;2007_3;10;51.049088;-71.083615;2007-06-18;68;2.015957135;2.197802198;53.7037037;210;81;3.429343466;92.61635746;13750;4500;0
20172007147;8;2007_3;10;51.079952;-71.140271;2007-06-16;66;2.451336993;16.48351648;54.6296296;340;203;9.49930173;94.42390149;12250;0;0
20192007P073;8;2007_4;12;50.53946;-70.22411;2007-06-14;66;2.252747259;6.593406593;58.3333333;320;197;11.62198166;60.98151643;11000;500;1000
20202009MC018;8;2009_1;11;50.64341;-68.36042;2009-06-25;73;2.313653737;0;21.2962963;170;123;26.50605683;82.03010121;5000;0;500
20182010F034;8;2010_1;8;50.69633;-71.83863;2010-06-22;88;1.655061217;7.692307692;60.1851852;190;108;10.13263881;96.58884172;15000;500;0
20182010D022;8;2010_1;8;50.83244;-71.64536;2010-06-23;89;2.051248181;0;48.1481481;270;272;10.87281697;79.35491944;5250;0;0
20172010188;8;2010_1;7;50.728349;-71.807274;2010-06-23;89;2.24657411;3.296703297;38.8888889;300;192;12.20927572;100;17250;3500;0
20182010F023;8;2010_1;8;50.83077;-71.64819;2010-06-23;89;2.352034398;6.593406593;30.5555556;120;159;19.39818303;98.93755972;11250;0;0
20182010F024;8;2010_1;8;50.83058;-71.64978;2010-06-23;89;2.343526585;0;28.7037037;110;153;20.57715612;78.03121952;7250;0;1000
20182010F096;8;2010_1;8;50.82775;-71.59724;2010-06-23;89;2.398143138;0;51.8518519;220;146;21.90200359;99.99975615;3500;0;250
20182010D023;8;2010_1;8;50.8327;-71.64695;2010-06-23;89;1.838020315;0;48.1481481;231;257;24.90578355;91.65650438;10250;0;0
20182010D026;8;2010_1;8;50.7212;-71.70189;2010-06-24;90;1.972817328;2.197802198;39.8148148;240;150;6.909984069;100;15250;250;500
201720108;8;2010_2;7;49.7062466;-71.34231445;2010-05-19;57;2.435211528;0;39.8148148;200;94;23.84992479;70.74409908;17250;750;2500
20202013MF048;8;2013_1;7;50.38995;-67.97324;2013-07-09;79;2.311072602;0;18.5185185;80;185;12.42270381;94.0096408;5500;0;3500
20202013UA090;8;2013_2;7;51.70804;-68.07432;2013-07-10;92;2.338441783;0;63.8888889;230;124;14.40051097;89.30935449;16000;250;0
20192005R001;9;2005_2;14;50.49419;-72.68739;2005-06-02;37;2.642582905;15.38461538;64.8148148;200;114;16.27362845;99.99843633;24500;0;4250
20192005P034;9;2005_2;14;50.41992;-72.49725;2005-06-05;36;1.687713646;45.05494505;73.1481481;300;184;9.91321503;93.67023132;30750;0;0
20192005X014;9;2005_3;14;50.26356;-72.35918;2005-06-03;34;2.709903432;0;7.4074074;150;93;27.64582519;91.6277786;4250;0;5500
20172005166;9;2005_5;12;51.101879;-71.014357;2005-06-04;58;1.809895135;16.48351648;28.7037037;337;279;6.657681383;100;69250;0;0
20172005157;9;2005_5;12;51.12449965;-71.05911207;2005-06-04;58;2.078982326;14.28571429;39.8148148;310;331;6.839056311;100;49750;0;0
20172005163;9;2005_5;12;51.124493;-71.056788;2005-06-04;58;2.487558296;3.296703297;32.4074074;140;292;8.646747026;100;21750;0;0
20192007X018;9;2007_2;12;50.13406;-71.96841;2007-06-19;69;2.216979351;15.38461538;80.5555556;400;180;10.69516695;91.06792536;9000;0;0
20172007117;9;2007_3;10;51.093489;-71.099987;2007-06-16;66;2.119592066;17.58241758;56.4814815;260;196;16.26033183;91.63185856;14500;0;0
20172007130;9;2007_3;10;51.047372;-71.082353;2007-06-18;68;1.916950939;8.791208791;26.8518519;700;217;5.5997717;100;31000;11500;0
20192007P075;9;2007_4;12;50.53995;-70.22669;2007-06-13;64;1.908293226;0;76.8518519;229.9;163;27.10776063;98.99383553;13500;0;0
20202007UB085;9;2007_5;13;51.87668;-68.19186;2007-06-16;68;1.896896708;9.89010989;46.2962963;200;162;23.31020773;93.5459084;15750;0;250
20202009MC027;9;2009_1;11;50.63308;-68.35277;2009-06-25;73;2.038489886;0;0.9259259;113;124;35.78339204;73.06616962;6000;0;1250
20202009MC023;9;2009_1;11;50.64087;-68.35517;2009-06-25;73;2.405799659;10.98901099;73.1481481;210;123;22.08622346;96.01702647;13500;0;1500
20202009MC026;9;2009_1;11;50.62506;-68.34858;2009-06-24;70;2.374744655;5.494505495;0;152.4;125;26.86293707;82.91222043;5500;0;4500
20202009MC022;9;2009_1;11;50.64521;-68.36031;2009-06-25;74;2.276416945;0;10.1851852;205;121;31.2253484;98.56799107;10500;0;1250
